Ingredient,Serving Size,Calories,Fat (g),Protein (g),Net Carbs (g),Bulletproof Zone,Category,Shelf Life,Storage,Price per unit,Weekly Cost,Meal Usage,Notes
Avocado,1/2 medium (100 g),160,15.0,2.0,2.0,Green,Healthy Fats / Veg,3–5 days,Room/Fridge,₹50 each,₹250 (5 pcs),"Breakfast, Salad",Best semi-ripe
Zucchini (Green),1 cup (120 g),20,0.0,2.0,3.0,Green,Vegetables,3–5 days,Fridge,₹60/kg,₹30 (0.5 kg),"Lunch, Dinner",
Zucchini (Yellow),1 cup (120 g),20,0.0,2.0,3.0,Green,Vegetables,3–5 days,Fridge,₹80/kg,₹40 (0.5 kg),"Lunch, Dinner",
Spinach,1 cup raw (30 g),7,0.0,1.0,1.0,Green,Vegetables,2–3 days,Fridge,₹40/bunch,₹120 (3 bunches),"Soups, Salads",Organic best
Organic Coconut Milk,1/4 cup (60 ml),138,14.0,1.0,2.0,Green,Pantry,6+ months (canned),Pantry,₹150/can,₹450 (3 cans),"Curries, Smoothies",Full fat
Bottle Gourd,1 cup (100 g),14,0.0,0.5,3.0,Green,Vegetables,3–4 days,Fridge,₹40/kg,₹40,"Curry, Soup",
Ginger,1 inch (10 g),8,0.0,0.0,2.0,Green,Spices,2–3 weeks,Fridge,₹200/kg,₹20 (100 g),Flavoring,Anti-inflammatory
Egg,1 large,70,5.0,6.0,0.5,Green,Protein,1–2 weeks,Fridge,₹7 each,₹84 (1 dozen),"Breakfast, Snacks",Pasture-raised preferred
Chicken Breast,100 g cooked,165,3.5,31.0,0.0,Green,Protein,2–3 days fresh,Fridge/Freeze,₹450/kg,₹405 (900 g),"Lunch, Dinner",Lean protein
Rice Noodles,1 cup cooked (176 g),190,0.5,3.0,42.0,Yellow,Starches,6+ months dry,Pantry,₹200/kg,₹60 (300 g),Occasional carb,Limit use
Oregano,1 tsp (1 g),3,0.0,0.0,1.0,Green,Spices,6+ months,Pantry,₹100/50 g,₹20,Seasoning,
